episode,score_per_episode,last5_average_reward,episode_length,training_steps
1,-21.0,-21.0,826,826
2,-20.0,-20.5,1017,1843
3,-21.0,-20.666666666666668,824,2667
4,-21.0,-20.75,764,3431
5,-20.0,-20.6,902,4333
6,-20.0,-20.4,926,5259
7,-20.0,-20.4,998,6257
8,-18.0,-19.8,1113,7370
9,-21.0,-19.8,880,8250
10,-20.0,-19.8,987,9237
11,-19.0,-19.6,1077,10314
12,-21.0,-19.8,811,11125
13,-19.0,-20.0,1085,12210
14,-21.0,-20.0,884,13094
15,-20.0,-20.0,1023,14117
16,-21.0,-20.4,826,14943
17,-21.0,-20.4,824,15767
18,-21.0,-20.8,764,16531
19,-20.0,-20.6,963,17494
20,-20.0,-20.6,974,18468
21,-19.0,-20.2,1056,19524
22,-21.0,-20.2,880,20404
23,-21.0,-20.2,826,21230
24,-21.0,-20.4,824,22054
25,-19.0,-20.2,1032,23086
26,-21.0,-20.6,843,23929
27,-21.0,-20.6,849,24778
28,-19.0,-20.2,1036,25814
29,-21.0,-20.2,764,26578
30,-21.0,-20.6,884,27462
31,-21.0,-20.6,1000,28462
32,-20.0,-20.4,917,29379
33,-21.0,-20.8,853,30232
34,-20.0,-20.6,930,31162
35,-20.0,-20.4,1035,32197
36,-21.0,-20.4,931,33128
37,-20.0,-20.4,842,33970
38,-21.0,-20.4,884,34854
39,-21.0,-20.6,824,35678
40,-20.0,-20.6,948,36626
41,-20.0,-20.4,991,37617
42,-21.0,-20.6,912,38529
43,-20.0,-20.4,1107,39636
44,-21.0,-20.4,792,40428
45,-21.0,-20.6,973,41401
46,-21.0,-20.8,989,42390
47,-21.0,-20.8,764,43154
48,-21.0,-21.0,853,44007
49,-20.0,-20.8,842,44849
50,-21.0,-20.8,764,45613
51,-20.0,-20.6,870,46483
52,-21.0,-20.6,843,47326
53,-21.0,-20.6,940,48266
54,-20.0,-20.6,887,49153
55,-21.0,-20.6,881,50034
56,-21.0,-20.8,859,50893
57,-21.0,-20.8,783,51676
58,-21.0,-20.8,792,52468
59,-20.0,-20.8,930,53398
60,-21.0,-20.8,824,54222
61,-20.0,-20.6,1081,55303
62,-20.0,-20.4,901,56204
63,-20.0,-20.2,1089,57293
64,-21.0,-20.4,824,58117
65,-20.0,-20.2,1019,59136
66,-19.0,-20.0,1083,60219
67,-20.0,-20.0,968,61187
68,-20.0,-20.0,889,62076
69,-21.0,-20.0,915,62991
70,-21.0,-20.2,824,63815
71,-20.0,-20.4,888,64703
72,-21.0,-20.6,822,65525
73,-20.0,-20.6,871,66396
74,-21.0,-20.6,884,67280
75,-21.0,-20.6,882,68162
76,-21.0,-20.8,993,69155
77,-20.0,-20.6,1060,70215
78,-21.0,-20.8,822,71037
79,-21.0,-20.8,812,71849
80,-21.0,-20.8,792,72641
81,-19.0,-20.4,933,73574
82,-20.0,-20.4,1137,74711
83,-21.0,-20.4,929,75640
84,-21.0,-20.4,935,76575
85,-21.0,-20.4,782,77357
86,-21.0,-20.8,854,78211
87,-21.0,-21.0,854,79065
88,-20.0,-20.8,838,79903
89,-20.0,-20.6,963,80866
90,-21.0,-20.6,824,81690
91,-20.0,-20.4,1212,82902
92,-21.0,-20.4,824,83726
93,-20.0,-20.4,902,84628
94,-21.0,-20.6,793,85421
95,-18.0,-20.0,1071,86492
96,-20.0,-20.0,968,87460
97,-20.0,-19.8,1043,88503
98,-19.0,-19.6,998,89501
99,-19.0,-19.2,939,90440
100,-21.0,-19.8,792,91232
101,-20.0,-19.8,991,92223
102,-21.0,-20.0,813,93036
103,-20.0,-20.2,872,93908
104,-21.0,-20.6,852,94760
105,-18.0,-20.0,1156,95916
106,-20.0,-20.0,872,96788
